"idx_condition","idx_trial","T_fm","T_fu","T_rm","T_ru","R_fm","R_fu","R_rm","R_ru","f_halt","r_halt","n_items"
16,222,1,1,1,1,1,1,1,1,4,5,8
17,222,1,1,3,1,2,1,3,1,1,5,8
18,222,1,1,1,1,1,1,1,1,1,4,8
19,222,2,1,2,1,2,1,2,1,3,4,8
20,222,1,1,4,1,1,1,1,1,3,4,8
21,222,2,2,2,2,2,2,2,1,3,4,8
22,222,2,2,2,2,2,2,2,2,3,3,8
23,222,2,2,2,2,2,2,2,2,2,3,8
24,222,2,2,2,2,2,2,2,2,2,3,8
25,222,2,2,2,2,2,2,2,2,3,4,8
26,222,2,2,2,2,2,2,2,2,2,5,8
27,222,2,1,2,2,2,2,2,2,2,4,8
28,222,2,2,2,2,2,2,2,2,2,4,8
29,222,2,1,2,1,2,1,2,1,2,5,8
30,222,1,1,1,1,1,1,2,1,2,5,8
31,222,1,1,2,1,1,1,2,1,1,5,8
32,222,1,1,1,1,3,1,3,1,1,5,8
33,222,3,2,4,2,-1,2,4,2,3,4,8
34,222,2,2,2,2,2,2,2,2,3,4,8
35,222,2,2,4,3,3,2,3,2,2,4,8
36,222,2,2,2,2,2,2,3,2,2,3,8
37,222,2,2,4,3,4,2,4,2,3,4,8
38,222,2,1,2,2,2,2,2,2,2,4,8
39,222,2,2,4,2,2,2,4,2,2,4,8
40,222,2,2,2,2,2,2,2,2,2,3,8
41,222,1,1,3,1,3,1,3,1,3,5,8
42,222,1,1,2,1,2,1,2,1,2,4,8
43,222,1,1,3,1,2,1,2,1,1,4,8
44,222,1,1,2,1,2,1,2,1,1,4,8
45,222,1,1,1,1,1,1,1,1,2,4,8
46,222,1,1,2,1,2,1,2,2,2,4,8
47,222,1,1,1,1,1,1,1,1,1,5,8
48,222,1,1,1,1,1,1,2,1,1,4,8
49,222,1,1,3,3,3,1,3,1,3,4,8
50,222,1,1,2,1,2,1,2,1,2,4,8
51,222,1,1,2,1,1,1,2,1,1,6,8
52,222,1,1,2,1,2,1,2,2,1,4,8
1,223,1,0,1,0,1,0,1,0,4,5,8
2,223,0,0,0,0,0,0,0,0,4,4,8
3,223,0,0,0,0,0,0,0,0,4,4,8
4,223,0,0,0,0,0,0,0,0,4,4,8
5,223,1,1,6,1,1,1,4,1,2,5,8
6,223,1,1,1,1,2,1,2,1,1,4,8
7,223,1,1,1,1,1,1,1,1,4,4,8
8,223,1,1,5,1,1,1,1,1,4,5,8
9,223,1,1,1,1,3,1,3,1,1,5,8
10,223,1,1,1,1,1,1,4,1,1,4,8
11,223,1,1,1,1,1,1,1,1,3,4,8
12,223,1,1,3,1,1,1,1,1,3,4,8
13,223,1,1,1,1,1,1,1,1,2,4,8
14,223,1,1,1,1,1,1,1,1,1,4,8
15,223,1,1,1,1,1,1,1,1,3,4,8
16,223,1,1,1,1,1,1,1,1,4,4,8
17,223,1,1,1,1,1,1,1,1,1,4,8
18,223,1,1,1,1,1,1,1,1,1,3,8
19,223,1,1,1,1,1,1,1,1,3,4,8
20,223,1,1,1,1,1,1,1,1,4,4,8
21,223,3,2,3,3,3,2,3,2,3,4,8
22,223,2,2,4,2,-1,2,4,2,3,4,8
23,223,2,2,2,2,2,2,2,2,2,4,8
24,223,2,2,2,2,2,2,2,2,2,4,8
25,223,1,1,4,1,4,1,3,1,3,4,8
26,223,1,1,4,2,4,2,4,2,3,4,8
27,223,2,1,2,2,2,2,2,2,2,4,8
28,223,2,2,2,2,2,2,2,2,2,4,8
29,223,1,1,4,1,-1,1,3,1,3,4,8
30,223,1,1,1,1,4,1,3,1,2,4,8
31,223,1,1,1,1,3,1,3,1,1,5,8
32,223,1,1,2,1,4,1,4,1,1,4,8
33,223,2,1,3,1,3,1,2,1,3,4,8
34,223,2,2,2,2,2,2,2,2,2,4,8
35,223,2,2,4,2,2,2,2,2,2,4,8
36,223,2,2,2,2,3,2,3,2,2,3,8
37,223,1,1,1,1,3,1,1,1,3,4,8
38,223,2,1,2,2,2,2,2,2,2,4,8
39,223,1,1,2,1,3,1,2,1,2,4,8
40,223,1,1,2,2,2,2,2,2,2,3,8
41,223,1,1,1,1,2,1,1,1,2,4,8
42,223,1,1,1,1,1,1,1,1,2,4,8
43,223,1,1,1,1,1,1,1,1,1,4,8
44,223,1,1,1,1,1,1,1,1,1,4,8
45,223,1,1,1,1,1,1,1,1,2,4,8
46,223,1,1,3,1,1,1,3,1,1,4,8
47,223,1,1,8,1,1,1,4,1,1,5,8
48,223,1,1,2,1,1,1,3,2,1,4,8
49,223,1,1,1,1,1,1,1,1,1,4,8
50,223,1,1,1,1,1,1,2,1,1,4,8
51,223,1,1,1,1,1,1,1,1,1,5,8
52,223,1,1,1,1,1,1,1,1,1,3,8
1,224,0,0,0,0,0,0,0,0,3,4,8
2,224,0,0,0,0,0,0,0,0,5,5,8
3,224,0,0,0,0,0,0,0,0,4,5,8
4,224,2,0,6,0,2,0,2,0,4,5,8
5,224,1,1,1,1,1,1,1,1,2,4,8
6,224,1,1,1,1,1,1,1,1,1,4,8
7,224,3,1,4,1,3,1,1,1,3,4,8
8,224,1,1,1,1,1,1,1,1,3,4,8
9,224,1,1,1,1,1,1,1,1,1,4,8
10,224,1,1,1,1,1,1,1,1,1,3,8
11,224,1,1,3,1,3,1,1,1,3,4,8
12,224,1,1,1,1,1,1,1,1,3,3,8
13,224,1,1,1,1,1,1,1,1,2,4,8
14,224,1,1,1,1,3,1,3,1,2,3,8
15,224,1,1,1,1,1,1,1,1,4,4,8
16,224,2,1,2,2,2,1,2,1,3,4,8
17,224,1,1,1,1,1,1,1,1,1,5,8
18,224,1,1,1,1,1,1,2,1,1,4,8
19,224,1,1,1,1,1,1,1,1,3,4,8
20,224,2,1,2,2,2,2,2,2,3,3,8
21,224,2,2,2,2,2,2,2,2,2,4,8
22,224,2,2,2,2,2,2,2,2,2,3,8
23,224,2,2,2,2,2,2,2,2,2,4,8
24,224,2,2,2,2,2,2,2,2,2,3,8
25,224,2,1,3,2,2,2,3,1,2,4,8
26,224,2,2,2,2,2,2,3,2,2,3,8
27,224,2,2,2,2,2,2,2,2,2,4,8
28,224,2,2,2,2,2,2,2,2,2,2,8
29,224,1,1,1,1,1,1,1,1,3,4,8
30,224,1,1,2,2,2,2,2,2,2,4,8
31,224,1,1,2,2,2,2,2,2,2,4,8
32,224,1,1,2,2,2,2,2,2,1,3,8
33,224,2,2,2,2,2,2,2,2,3,4,8
34,224,2,2,2,2,2,2,2,2,2,4,8
35,224,2,2,2,2,2,2,2,2,2,4,8
36,224,2,2,2,2,2,2,2,2,2,4,8
37,224,2,2,2,2,2,2,2,2,3,4,8
38,224,2,2,2,2,2,2,2,2,2,4,8
39,224,2,2,4,2,2,2,2,2,2,4,8
40,224,2,2,3,2,3,2,3,2,2,4,8
41,224,1,1,1,1,1,1,1,1,3,4,8
42,224,1,1,3,2,3,2,3,2,3,4,8
43,224,1,1,4,2,2,2,3,2,2,4,8
44,224,1,1,2,2,2,2,2,2,2,5,8
45,224,1,1,3,1,2,1,3,1,2,4,8
46,224,2,1,2,2,2,2,2,2,2,3,8
47,224,1,1,2,2,2,2,2,2,1,4,8
48,224,1,1,2,2,2,2,2,2,1,2,8
49,224,1,1,8,2,2,1,2,1,2,5,8
50,224,2,2,2,2,2,2,2,2,2,3,8
51,224,1,1,4,2,2,2,2,2,2,5,8
52,224,1,1,2,2,2,2,2,2,2,4,8
1,225,1,1,1,0,1,1,1,0,4,5,8
2,225,2,1,3,1,1,1,1,1,4,4,8
3,225,1,0,1,0,1,0,1,0,4,4,8
4,225,1,0,1,0,1,0,1,0,3,4,8
5,225,1,1,1,1,1,1,1,1,2,5,8
6,225,1,1,3,1,2,1,3,1,2,4,8
7,225,2,2,2,2,2,2,2,1,3,5,8
8,225,2,2,2,2,2,2,2,1,3,4,8
9,225,1,1,1,1,1,1,1,1,1,4,8
10,225,1,1,1,1,1,1,1,1,1,4,8
11,225,2,2,3,2,3,2,3,2,3,4,8
12,225,2,2,2,2,2,2,2,2,3,4,8
13,225,1,1,2,1,1,1,2,1,2,5,8
14,225,1,1,2,2,2,2,2,2,2,4,8
15,225,2,1,2,2,2,1,2,1,4,5,8
16,225,3,2,3,2,3,1,3,1,3,4,8
17,225,1,1,2,1,2,1,2,1,1,5,8
18,225,1,1,2,1,3,2,2,2,1,4,8
19,225,3,1,6,1,-1,1,4,1,4,5,8
20,225,1,1,3,1,-1,1,2,1,3,5,8
21,225,2,2,2,2,2,2,2,2,3,4,8
22,225,2,2,2,2,2,2,2,2,2,4,8
23,225,2,2,2,2,2,2,2,2,2,4,8
24,225,2,2,2,2,2,2,2,2,2,3,8
25,225,2,1,3,2,2,2,2,2,3,4,8
26,225,2,2,2,2,2,2,2,2,2,3,8
27,225,2,2,3,2,3,2,3,2,2,4,8
28,225,2,2,2,2,4,2,2,2,2,4,8
29,225,1,1,1,1,1,1,4,1,2,4,8
30,225,1,1,2,1,2,1,2,1,2,4,8
31,225,1,1,1,1,1,1,3,1,1,5,8
32,225,1,1,2,1,3,1,2,1,1,4,8
33,225,2,2,6,2,2,2,2,2,3,5,8
34,225,3,2,5,3,-1,2,-1,2,3,5,8
35,225,2,2,8,5,2,2,3,2,2,5,8
36,225,2,2,5,5,-1,3,-1,3,2,5,8
37,225,2,2,2,2,2,2,2,2,2,6,8
38,225,2,1,3,3,-1,2,3,2,3,4,8
39,225,2,2,8,3,2,2,3,2,2,5,8
40,225,2,2,5,3,-1,3,-1,3,2,5,8
41,225,1,1,2,2,2,1,2,1,2,5,8
42,225,2,1,2,2,2,2,2,2,2,3,8
43,225,1,1,2,2,2,2,2,2,2,5,8
44,225,1,1,3,2,4,2,3,2,1,4,8
45,225,1,1,4,1,-1,1,4,1,2,4,8
46,225,1,1,2,2,2,2,2,2,2,4,8
47,225,1,1,1,1,1,1,3,1,1,5,8
48,225,1,1,1,1,2,1,2,2,1,4,8
49,225,2,1,2,2,2,2,2,2,2,5,8
50,225,1,1,3,2,3,2,3,2,2,4,8
51,225,1,1,8,2,2,1,2,2,1,6,8
52,225,1,1,4,2,-1,1,3,2,1,4,8
1,226,2,1,6,1,1,1,1,1,4,5,8
2,226,1,0,1,0,1,0,1,0,4,5,8
3,226,0,0,0,0,0,0,0,0,4,5,8
4,226,1,0,1,0,1,0,1,0,4,4,8
5,226,1,1,3,1,1,1,2,1,3,4,8
6,226,1,1,1,1,1,1,1,1,1,4,8
7,226,2,1,3,1,2,1,2,1,3,4,8
8,226,1,1,1,1,1,1,1,1,4,4,8
9,226,1,1,1,1,1,1,2,1,1,4,8
10,226,1,1,1,1,1,1,1,1,1,4,8
11,226,2,1,2,1,2,1,2,1,2,4,8
12,226,1,1,1,1,1,1,1,1,4,5,8
13,226,1,1,1,1,1,1,1,1,2,4,8
14,226,1,1,1,1,1,1,1,1,1,3,8
15,226,1,1,1,1,1,1,1,1,3,5,8
16,226,2,2,2,2,2,2,2,2,3,4,8
17,226,1,1,1,1,1,1,1,1,1,5,8
18,226,1,1,1,1,1,1,1,1,1,4,8
19,226,1,1,1,1,2,1,1,1,3,4,8
20,226,2,2,2,2,2,2,2,1,3,4,8
21,226,2,2,3,2,2,2,2,2,3,4,8
22,226,2,2,2,2,2,2,2,2,2,3,8
23,226,2,2,2,2,2,2,2,2,2,4,8
24,226,2,2,2,2,2,2,2,2,2,3,8
25,226,2,2,4,2,2,2,2,2,3,4,8
26,226,2,2,2,2,3,2,3,2,2,3,8
27,226,2,2,2,2,2,2,2,2,2,4,8
28,226,2,2,2,2,2,2,2,2,2,4,8
29,226,1,1,4,1,2,1,2,1,2,4,8
30,226,1,1,3,1,3,1,3,1,2,4,8
31,226,1,1,2,1,2,1,2,2,2,4,8
32,226,1,1,2,2,2,2,2,2,2,3,8
33,226,2,2,2,2,2,2,2,2,2,4,8
34,226,2,2,2,2,2,2,2,2,2,4,8
35,226,2,2,2,2,3,2,2,2,2,4,8
36,226,2,2,2,2,3,2,2,2,2,4,8
37,226,2,1,2,2,2,2,2,1,2,4,8
38,226,2,1,2,2,2,2,2,2,2,4,8
39,226,2,2,2,2,2,2,2,2,2,4,8
40,226,2,2,2,2,2,2,2,2,2,3,8
41,226,1,1,1,1,1,1,1,1,2,4,8
42,226,1,1,1,1,1,1,1,1,2,4,8
43,226,1,1,1,1,1,1,1,1,1,5,8
44,226,1,1,1,1,2,1,2,1,1,4,8
45,226,1,1,2,2,2,1,2,1,2,4,8
46,226,2,1,2,2,2,2,2,2,2,4,8
47,226,1,1,3,3,3,1,3,2,1,4,8
48,226,1,1,2,2,3,2,3,2,1,4,8
49,226,1,1,1,1,1,1,1,1,2,4,8
50,226,1,1,2,1,2,1,2,1,2,4,8
51,226,1,1,2,1,1,1,2,1,1,5,8
52,226,1,1,2,1,1,1,2,1,1,4,8
1,227,0,0,0,0,0,0,0,0,4,5,8
2,227,1,0,1,0,1,0,1,0,4,4,8
3,227,0,0,5,0,0,0,1,0,4,5,8
4,227,1,0,1,0,1,0,1,0,3,4,8
5,227,1,1,1,1,1,1,1,1,2,3,8
6,227,1,1,1,1,1,1,1,1,1,3,8
7,227,1,1,2,1,2,1,1,1,3,4,8
8,227,1,1,1,1,1,1,1,1,3,4,8
9,227,1,1,1,1,1,1,1,1,1,4,8
10,227,1,1,1,1,1,1,1,1,1,3,8
11,227,1,1,2,1,2,1,2,1,3,4,8
12,227,1,1,1,1,1,1,1,1,3,4,8
13,227,1,1,1,1,1,1,1,1,2,4,8
14,227,1,1,1,1,1,1,1,1,1,3,8
15,227,2,1,2,1,2,1,2,1,3,5,8
16,227,2,2,2,2,2,2,2,2,3,4,8
17,227,1,1,1,1,1,1,1,1,1,4,8
18,227,1,1,1,1,1,1,1,1,1,3,8
19,227,1,1,3,1,3,1,1,1,3,3,8
20,227,2,2,3,2,3,2,2,2,3,3,8
21,227,2,2,3,2,3,2,3,2,3,4,8
22,227,2,2,2,2,2,2,2,2,2,3,8
23,227,2,2,2,2,3,2,2,2,2,3,8
24,227,2,2,2,2,2,2,2,2,2,3,8
25,227,1,1,2,1,2,1,2,1,2,3,8
26,227,2,1,2,2,2,2,2,2,2,2,8
27,227,1,1,3,2,3,2,3,2,2,4,8
28,227,2,2,2,2,2,2,2,2,2,3,8
29,227,1,1,1,1,1,1,1,1,2,3,8
30,227,1,1,2,1,2,1,2,1,2,3,8
31,227,1,1,2,1,2,1,2,1,1,4,8
32,227,1,1,2,1,2,1,2,2,1,3,8
33,227,2,2,2,2,2,2,2,2,2,4,8
34,227,2,2,2,2,2,2,2,2,2,3,8
35,227,2,2,2,2,2,2,2,2,2,3,8
36,227,2,2,2,2,2,2,2,2,2,4,8
37,227,1,1,2,1,2,1,2,1,2,4,8
38,227,2,1,2,2,2,2,2,2,2,4,8
39,227,1,1,2,2,2,2,2,2,2,4,8
40,227,2,2,2,2,2,2,2,2,2,4,8
41,227,1,1,1,1,2,1,1,1,2,4,8
42,227,1,1,1,1,1,1,1,1,2,3,8
43,227,1,1,1,1,2,1,1,1,1,4,8
44,227,1,1,2,1,2,1,2,2,1,4,8
45,227,1,1,1,1,1,1,1,1,1,4,8
46,227,1,1,1,1,1,1,2,1,1,3,8
47,227,1,1,1,1,1,1,2,1,1,5,8
48,227,1,1,2,1,2,1,2,2,1,3,8
49,227,1,1,1,1,1,1,1,1,1,4,8
50,227,1,1,2,1,1,1,2,1,1,4,8
51,227,1,1,2,2,2,1,2,1,2,5,8
52,227,1,1,8,3,3,1,3,2,1,4,8
1,228,0,0,1,0,0,0,1,0,4,5,8
2,228,0,0,0,0,0,0,0,0,5,5,8
3,228,2,0,2,0,2,0,2,0,4,5,8
4,228,0,0,0,0,0,0,0,0,4,4,8
5,228,1,1,1,1,1,1,1,1,2,4,8
6,228,1,1,1,1,1,1,1,1,1,3,8
7,228,1,1,1,1,1,1,1,1,3,4,8
8,228,1,1,1,1,1,1,1,1,4,4,8
9,228,1,1,1,1,1,1,1,1,1,4,8
10,228,1,1,1,1,1,1,1,1,1,4,8
11,228,1,1,2,1,1,1,2,1,3,6,8
12,228,1,1,1,1,1,1,1,1,4,4,8
13,228,2,1,5,2,-1,2,4,2,3,5,8
14,228,1,1,3,1,4,1,3,1,2,4,8
15,228,2,1,2,2,2,1,2,1,3,4,8
16,228,1,1,2,1,1,1,1,1,4,4,8
17,228,1,1,8,2,2,1,4,1,1,6,8
18,228,1,1,1,1,2,1,2,1,1,4,8
19,228,1,1,3,1,1,1,3,1,3,4,8
20,228,1,1,3,1,1,1,2,1,3,5,8
21,228,2,2,2,2,2,2,2,2,2,4,8
22,228,2,2,2,2,2,2,2,2,2,2,8
23,228,2,2,2,2,2,2,2,2,2,4,8
24,228,2,2,2,2,2,2,2,2,2,3,8
25,228,2,1,2,2,2,2,2,2,2,5,8
26,228,2,2,2,2,2,2,2,2,2,2,8
27,228,2,2,2,2,2,2,2,2,2,4,8
28,228,2,2,2,2,2,2,2,2,2,4,8
29,228,1,1,1,1,1,1,1,1,2,4,8
30,228,1,1,1,1,2,1,1,1,2,3,8
31,228,1,1,2,1,2,1,2,1,2,4,8
32,228,1,1,2,2,2,2,2,2,2,3,8
33,228,2,2,2,2,2,2,2,2,2,4,8
34,228,2,2,2,2,2,2,2,2,2,4,8
35,228,2,2,2,2,2,2,2,2,2,5,8
36,228,2,2,2,2,4,2,3,2,2,4,8
37,228,2,2,4,2,2,2,4,2,2,4,8
38,228,2,1,2,2,2,2,2,2,2,4,8
39,228,2,2,8,2,2,2,-1,2,2,5,8
40,228,2,2,2,2,2,2,3,2,2,4,8
41,228,2,2,4,4,-1,2,4,2,3,4,8
42,228,1,1,2,1,2,2,2,2,2,4,8
43,228,1,1,8,2,2,2,3,2,2,5,8
44,228,1,1,2,1,2,2,2,2,1,5,8
45,228,1,1,2,2,2,2,2,2,2,4,8
46,228,2,1,2,2,2,2,2,2,2,2,8
47,228,1,1,2,2,2,2,2,2,2,5,8
48,228,1,1,2,2,2,2,2,2,1,3,8
49,228,2,2,4,4,4,2,4,2,2,4,8
50,228,1,1,3,2,-1,2,3,2,2,4,8
51,228,1,1,2,2,2,2,2,2,2,5,8
52,228,1,1,2,2,2,1,2,2,1,4,8
1,229,0,0,0,0,0,0,0,0,4,5,8
2,229,0,0,0,0,0,0,0,0,4,4,8
3,229,1,0,0,0,1,0,0,0,3,4,8
4,229,1,0,1,0,1,0,1,0,4,4,8
5,229,1,1,5,1,1,1,2,1,3,5,8
6,229,1,1,1,1,1,1,2,1,2,4,8
7,229,1,1,1,1,1,1,1,1,4,5,8
8,229,1,1,1,1,1,1,1,1,3,4,8
9,229,1,1,1,1,1,1,3,1,1,5,8
10,229,1,1,1,1,1,1,2,1,1,4,8
11,229,1,1,2,1,1,1,1,1,3,4,8
12,229,1,1,1,1,1,1,1,1,3,4,8
13,229,1,1,3,1,3,1,3,1,3,5,8
14,229,1,1,2,1,2,1,2,1,2,4,8
15,229,1,1,1,1,1,1,1,1,3,4,8
16,229,1,1,2,1,2,1,1,1,3,4,8
17,229,1,1,3,1,1,1,2,1,1,4,8
18,229,1,1,2,1,1,1,2,1,1,5,8
19,229,1,1,1,1,1,1,1,1,3,5,8
20,229,2,1,2,1,2,1,2,1,3,4,8
21,229,3,2,4,3,4,2,3,2,3,4,8
22,229,2,2,3,2,4,2,3,2,3,4,8
23,229,2,2,2,2,2,2,2,2,2,4,8
24,229,2,2,2,2,2,2,2,2,2,3,8
25,229,3,2,5,3,-1,2,3,2,3,5,8
26,229,2,2,4,2,-1,2,4,2,3,4,8
27,229,2,2,4,2,3,2,4,2,2,4,8
28,229,2,2,2,2,2,2,2,2,2,4,8
29,229,2,1,5,2,2,1,2,1,3,5,8
30,229,1,1,4,2,2,1,4,1,2,4,8
31,229,1,1,3,2,2,2,2,2,2,5,8
32,229,1,1,2,2,2,2,2,2,2,4,8
33,229,2,1,4,2,4,1,2,1,3,4,8
34,229,2,2,2,2,2,2,2,2,2,4,8
35,229,2,2,8,2,2,2,2,2,2,5,8
36,229,2,2,3,2,2,2,3,2,2,4,8
37,229,3,2,3,2,3,2,3,2,3,4,8
38,229,2,2,2,2,2,2,2,2,2,4,8
39,229,2,2,2,2,2,2,2,2,2,4,8
40,229,2,2,3,2,2,2,3,2,2,4,8
41,229,3,2,3,2,3,2,3,2,3,3,8
42,229,2,2,2,2,2,2,2,2,2,3,8
43,229,1,1,2,2,2,1,2,2,2,4,8
44,229,1,1,2,2,2,2,2,2,2,4,8
45,229,2,1,5,2,2,1,2,2,3,5,8
46,229,2,1,2,2,4,2,4,2,2,4,8
47,229,1,1,2,2,2,2,2,2,2,5,8
48,229,1,1,2,2,-1,2,3,2,2,4,8
49,229,2,2,3,3,3,2,3,2,3,5,8
50,229,2,2,2,2,3,2,2,2,2,3,8
51,229,1,1,3,2,2,2,2,2,2,5,8
52,229,1,1,3,2,2,2,2,2,2,4,8
1,230,2,0,2,0,2,0,2,0,4,4,8
2,230,0,0,0,0,0,0,0,0,3,4,8
3,230,0,0,0,0,0,0,0,0,4,5,8
4,230,0,0,0,0,0,0,0,0,4,4,8
5,230,1,1,1,1,1,1,1,1,3,4,8
6,230,1,1,2,1,2,1,2,1,2,4,8
7,230,2,2,3,2,2,1,2,1,3,5,8
8,230,1,1,1,1,1,1,1,1,4,4,8
9,230,1,1,1,1,3,1,3,1,1,4,8
10,230,1,1,1,1,1,1,3,1,1,4,8
11,230,1,1,3,1,4,1,1,1,3,3,8
12,230,1,1,1,1,2,1,1,1,3,4,8
13,230,1,1,1,1,1,1,1,1,3,5,8
14,230,1,1,1,1,2,1,2,1,2,3,8
15,230,3,1,5,1,4,1,2,1,4,5,8
16,230,1,1,1,1,1,1,1,1,3,4,8
17,230,1,1,1,1,2,1,2,1,2,4,8
18,230,1,1,1,1,2,1,2,1,1,4,8
19,230,1,1,5,1,3,1,2,1,3,5,8
20,230,1,1,1,1,1,1,1,1,3,4,8
21,230,2,2,3,2,3,2,2,1,3,4,8
22,230,2,2,3,2,3,2,3,2,3,3,8
23,230,2,2,2,2,2,2,3,2,2,3,8
24,230,2,2,2,2,2,2,3,2,2,3,8
25,230,2,2,4,2,-1,2,2,1,4,4,8
26,230,2,2,3,2,-1,2,3,2,3,4,8
27,230,2,2,3,2,4,2,3,2,2,4,8
28,230,2,2,2,2,2,2,2,2,2,4,8
29,230,1,1,4,1,4,1,4,1,4,4,8
30,230,1,1,3,1,3,1,3,1,2,4,8
31,230,1,1,2,2,-1,2,2,2,2,4,8
32,230,1,1,2,2,2,2,2,2,2,4,8
33,230,2,2,3,2,3,2,2,2,3,4,8
34,230,2,2,2,2,2,2,2,2,2,3,8
35,230,2,2,3,2,3,2,3,2,2,4,8
36,230,2,2,2,2,2,2,2,2,2,4,8
37,230,2,2,3,2,3,2,2,2,3,4,8
38,230,2,2,2,2,2,2,2,2,3,3,8
39,230,2,2,4,2,4,2,3,2,3,4,8
40,230,2,2,3,2,4,2,3,2,2,4,8
41,230,1,1,2,1,2,1,2,1,3,5,8
42,230,2,1,3,1,3,1,3,1,3,3,8
43,230,1,1,2,2,3,2,2,2,2,5,8
44,230,1,1,2,2,2,2,2,2,2,4,8
45,230,1,1,5,1,-1,1,4,1,3,4,8
46,230,1,1,3,2,3,1,3,2,2,5,8
47,230,1,1,2,1,2,1,2,1,2,5,8
48,230,1,1,2,2,2,2,2,2,1,3,8
49,230,2,1,3,2,2,1,2,1,3,5,8
50,230,2,1,2,2,2,2,2,2,2,4,8
51,230,1,1,2,1,2,1,2,1,2,4,8
52,230,1,1,2,2,3,2,2,2,1,4,8
1,231,0,0,0,0,0,0,0,0,5,5,8
2,231,0,0,3,0,0,0,3,0,3,4,8
3,231,0,0,1,0,0,0,1,0,4,5,8
4,231,0,0,0,0,0,0,0,0,4,4,8
5,231,1,1,1,1,2,1,2,1,2,5,8
6,231,1,1,1,1,1,1,2,1,2,4,8
7,231,1,1,1,1,1,1,1,1,4,4,8
8,231,1,1,2,1,2,1,2,1,3,5,8
9,231,1,1,2,1,2,1,2,1,1,4,8
10,231,1,1,1,1,1,1,3,1,1,3,8
11,231,1,1,1,1,1,1,1,1,3,4,8
12,231,1,1,2,1,2,1,2,1,3,4,8
13,231,2,1,3,2,2,2,2,2,3,5,8
14,231,1,1,2,1,2,1,2,1,2,4,8
15,231,4,0,5,0,-1,0,2,0,4,5,8
16,231,2,0,3,0,1,0,1,0,3,4,8
17,231,1,1,2,2,2,1,2,1,2,4,8
18,231,1,1,1,1,1,1,3,1,1,5,8
19,231,1,1,1,1,1,1,1,1,3,4,8
20,231,1,1,2,1,1,1,1,1,3,4,8
21,231,2,2,3,2,3,2,2,2,3,4,8
22,231,2,2,3,2,3,2,2,2,3,4,8
23,231,2,2,2,2,2,2,2,2,2,4,8
24,231,2,2,2,2,2,2,2,2,2,3,8
25,231,1,1,3,1,3,1,3,1,3,4,8
26,231,2,2,3,2,2,2,3,2,3,4,8
27,231,2,2,3,3,3,2,3,3,2,5,8
28,231,2,2,3,2,3,2,3,2,2,3,8
29,231,1,1,3,1,2,1,2,1,3,4,8
30,231,1,1,3,1,3,1,3,1,3,4,8
31,231,1,1,2,1,2,1,2,1,2,4,8
32,231,1,1,2,2,3,2,3,2,1,4,8
33,231,3,3,4,3,3,2,3,2,3,4,8
34,231,2,2,3,2,2,2,2,2,3,4,8
35,231,2,2,3,2,3,2,3,2,2,5,8
36,231,2,2,2,2,3,2,3,2,2,3,8
37,231,2,2,3,3,3,2,3,2,3,5,8
38,231,2,2,2,2,2,1,2,2,3,4,8
39,231,2,2,5,2,2,2,2,2,2,5,8
40,231,2,2,2,2,2,2,2,2,2,4,8
41,231,2,2,3,2,2,2,2,2,3,5,8
42,231,1,1,2,2,2,1,2,1,2,5,8
43,231,1,1,1,1,2,1,2,1,1,5,8
44,231,1,1,2,1,2,1,2,1,1,5,8
45,231,1,1,4,1,1,1,3,1,2,4,8
46,231,1,1,3,2,3,1,3,2,2,3,8
47,231,1,1,8,1,1,1,3,2,1,5,8
48,231,1,1,2,2,2,2,2,2,1,4,8
49,231,1,1,2,1,1,1,1,1,2,5,8
50,231,1,1,2,1,2,1,2,1,2,4,8
51,231,1,1,8,2,3,2,2,2,1,5,8
52,231,1,1,8,2,4,1,4,2,1,5,8
1,232,4,0,3,0,-1,0,1,0,4,5,8
2,232,4,0,4,0,1,0,1,0,4,4,8
3,232,1,0,1,0,1,0,1,0,4,4,8
4,232,0,0,0,0,0,0,0,0,4,5,8
5,232,1,1,4,1,3,1,3,1,2,4,8
6,232,1,1,1,1,1,1,1,1,1,3,8
7,232,1,1,4,1,1,1,1,1,4,4,8
8,232,2,1,2,1,3,1,2,1,3,3,8
9,232,1,1,1,1,2,1,2,1,1,5,8
10,232,1,1,1,1,1,1,1,1,1,3,8
11,232,1,1,4,1,1,1,1,1,4,4,8
12,232,1,1,3,1,3,1,1,1,3,4,8
13,232,1,1,5,1,2,1,3,1,2,5,8
14,232,1,1,1,1,1,1,1,1,1,4,8
15,232,1,1,4,1,1,1,1,1,4,4,8
16,232,1,1,1,1,1,1,1,1,4,4,8
17,232,1,1,3,1,4,1,3,1,1,4,8
18,232,1,1,1,1,1,1,1,1,1,4,8
19,232,2,1,3,1,-1,1,2,1,3,4,8
20,232,1,1,1,1,1,1,1,1,3,4,8
21,232,2,2,4,2,2,2,2,2,3,4,8
22,232,2,2,3,2,3,2,3,2,3,3,8
23,232,2,2,8,2,4,2,3,2,2,5,8
24,232,2,2,2,2,3,2,3,2,2,4,8
25,232,1,1,3,2,3,2,3,2,3,5,8
26,232,1,1,3,2,3,1,3,2,3,4,8
27,232,1,1,2,2,2,2,2,2,2,4,8
28,232,2,2,2,2,2,2,2,2,2,4,8
29,232,1,1,4,2,2,2,2,2,2,4,8
